stop_lat,stop_lon,stop_name,linia
50.0411342,19.1991955,OŚWIĘCIM,1
50.0455786,19.2854139,DWORY,1
50.0229022,19.3291674,WŁOSIENICA,1
50.0132897,19.3696046,PRZECISZÓW,1
50.0053428,19.4063413,ZATOR PARK ROZRYWKI,1
50.002439,19.4280259,ZATOR,1
49.9950725,19.4764965,SPYTKOWICE,1
49.9987488,19.5228164,SPYTKOWICE KĘPKI,1
49.9893095,19.5399543,RYCZÓW,1
49.9761216,19.5764597,PÓŁWIEŚ,1
49.9673471,19.6289564,BRZEŹNICA,1
49.9617745,19.6752134,JAŚKOWICE,1
49.9595323,19.7109099,WIELKIE DROGI,1
49.9610742,19.7460175,ZELCZYNA,1
49.9664369,19.7722936,PODBORY SKAWIŃSKIE,1
49.9731614,19.7927902,SKAWINA ZACHODNIA,1
49.97714,19.8218725,SKAWINA,1
49.9812614,19.8414692,SKAWINA JAGIELNIA,1
49.9855704,19.874778,KRAKÓW SIDZINA,1
49.9888151,19.8994277,KRAKÓW OPATKOWICE,1
50.0004047,19.9280566,KRAKÓW SWOSZOWICE,1
50.0484386,19.956833,KRAKÓW ZABŁOCIE,1
50.0575340858249,19.9479190782688,KRAKÓW GRZEGÓRZKI,1
50.0683947,19.9475035,KRAKÓW GŁÓWNY,1
50.0819062,19.9172491,KRAKÓW ŁOBZÓW,1
50.0828134,19.8919081,KRAKÓW BRONOWICE,1
50.3546514,20.0112144,MIECHÓW,2
50.3272584,20.0057885,KAMIEŃCZYCE,2
50.3010946,20.0246682,SZCZEPANOWICE,2
50.2747111,20.0466248,SMROKÓW,2
50.2483244,20.0640672,SŁOMNIKI,2
50.2358343,20.0763817,SŁOMNIKI MIASTO,2
50.2057717,20.08153,NIEDŹWIEDŹ,2
50.1849737,20.0609405,GOSZCZA,2
50.1626561,20.0744024,ŁUCZYCE,2
50.1467234,20.0953619,BARANÓWKA,2
50.121563,20.0648136,ZASTÓW,2
50.1069817,20.0141072,KRAKÓW PIASTÓW,2
50.1074617,19.9954911,KRAKÓW BATOWICE,2
50.0484386,19.956833,KRAKÓW ZABŁOCIE,2
50.0575340858249,19.9479190782688,KRAKÓW GRZEGÓRZKI,2
50.0683947,19.9475035,KRAKÓW GŁÓWNY,2
50.0819062,19.9172491,KRAKÓW ŁOBZÓW,2
50.0828134,19.8919081,KRAKÓW BRONOWICE,2
50.0708948,19.8014213,KRAKÓW LOTNISKO,2
49.985686,20.056641,WIELICZKA RYNEK-KOPALNIA,3
49.9890933,20.0494485,WIELICZKA PARK,3
49.9984505,20.0366077,WIELICZKA BOGUCICE,3
50.0101025,20.0353932,KRAKÓW BIEŻANÓW DROŻDŻOWNIA,3
50.0212218,20.0296782,KRAKÓW BIEŻANÓW,3
50.0265037,19.9989288,KRAKÓW PROKOCIM,3
50.0349845,19.9750423,KRAKÓW PŁASZÓW,3
50.0484386,19.956833,KRAKÓW ZABŁOCIE,3
50.0575340858249,19.9479190782688,KRAKÓW GRZEGÓRZKI,3
50.0683947,19.9475035,KRAKÓW GŁÓWNY,3
50.0819062,19.9172491,KRAKÓW ŁOBZÓW,3
50.0828134,19.8919081,KRAKÓW BRONOWICE,3
50.0817813,19.8585219,KRAKÓW MŁYNÓWKA,3
50.079771,19.849453,KRAKÓW ZAKLIKI,3
50.0764518,19.8254701,KRAKÓW OLSZANICA,3
50.0708948,19.8014213,KRAKÓW LOTNISKO,3
49.9888151,19.8994277,KRAKÓW OPATKOWICE,4
50.0004047,19.9280566,KRAKÓW SWOSZOWICE,4
50.0349845,19.9750423,KRAKÓW PŁASZÓW,4
50.0265037,19.9989288,KRAKÓW PROKOCIM,4
50.0212218,20.0296782,KRAKÓW BIEŻANÓW,4
50.0101025,20.0353932,KRAKÓW BIEŻANÓW DROŻDŻOWNIA,4
49.9984505,20.0366077,WIELICZKA BOGUCICE,4
49.9890933,20.0494485,WIELICZKA PARK,4
49.985686,20.056641,WIELICZKA RYNEK-KOPALNIA,4
